model_name,column_name,column_type,comment,index
model.sap_source.stg_sap__lfa1,ORT01,TEXT,,
model.sap_source.stg_sap__lfa1,ORT02,TEXT,,
model.sap_source.stg_sap__lfa1,PFACH,NUMBER,,
model.sap_source.stg_sap__lfa1,PSTL2,NUMBER,,
model.sap_source.stg_sap__lfa1,PSTLZ,TEXT,,
model.sap_source.stg_sap__lfa1,REGIO,TEXT,,
model.sap_source.stg_sap__lfa1,SORTL,TEXT,,
model.sap_source.stg_sap__lfa1,SPRAS,TEXT,,
model.sap_source.stg_sap__lfa1,STCD1,NUMBER,,
model.sap_source.stg_sap__lfa1,STCD2,NUMBER,,
model.sap_source.stg_sap__lfa1,STCD3,NUMBER,,
model.sap_source.stg_sap__lfa1,STRAS,TEXT,,
model.sap_source.stg_sap__lfa1,TELF1,NUMBER,,
model.sap_source.stg_sap__lfa1,TELFX,NUMBER,,
model.sap_source.stg_sap__lfa1,XCPDK,NUMBER,,
model.sap_source.stg_sap__lfa1,VBUND,NUMBER,,
model.sap_source.stg_sap__lfa1,KRAUS,NUMBER,,
model.sap_source.stg_sap__lfa1,PFORT,NUMBER,,
model.sap_source.stg_sap__lfa1,WERKS,NUMBER,,
model.sap_source.stg_sap__pa0031,mandt,,Client,
model.sap_source.stg_sap__pa0031,pernr,,Personnel number,
model.sap_source.stg_sap__pa0031,subty,,Subtype,
model.sap_source.stg_sap__pa0031,objps,,Object information,
model.sap_source.stg_sap__pa0031,sprps,,Lock indicator for HR master data record,
model.sap_source.stg_sap__pa0031,begda,,Start date,
model.sap_source.stg_sap__pa0031,endda,,End date,
model.sap_source.stg_sap__pa0031,seqnr,,Number of infotype record with same key,
model.sap_source.stg_sap__pa0031,aedtm,,Changed on,
model.sap_source.stg_sap__pa0031,flag1,,Reserved field/unused field,
model.sap_source.stg_sap__pa0031,flag2,,Reserved field/unused field,
model.sap_source.stg_sap__pa0031,flag3,,Reserved field/unused field,
model.sap_source.stg_sap__pa0031,flag4,,Reserved field/unused field,
